region,county,market,category,commodity,unit,priceflag,pricetype,price
#adm1+name,#adm2+name,#loc+market+name,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,0.0
Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,actual,Wholesale,16.13
Coast,Mombasa,Mombasa,cereals and tubers,Maize,90 KG,actual,Wholesale,1480.0
Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,actual,Wholesale,33.63
Coast,Mombasa,Mombasa,pulses and nuts,Beans,90 KG,actual,Wholesale,3246.0
Eastern,Kitui,Kitui,cereals and tubers,Maize,KG,actual,Retail,17.0
Eastern,Kitui,Kitui,cereals and tubers,Potatoes,50 KG,actual,Wholesale,1249.99
Eastern,Kitui,Kitui,cereals and tubers,Sorghum,90 KG,actual,Wholesale,1800.0
Eastern,Kitui,Kitui,pulses and nuts,Beans,KG,actual,Retail,39.0
Eastern,Marsabit,Marsabit,cereals and tubers,Maize,KG,actual,Retail,21.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Beans,400 G,actual,Retail,26.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,actual,Wholesale,15.48
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,90 KG,actual,Wholesale,1399.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes,50 KG,actual,Wholesale,664.43
Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,actual,Wholesale,1960.0
Nairobi,Nairobi,Nairobi,milk and dairy,Milk,500 ML,actual,Retail,22.0
Nairobi,Nairobi,Nairobi,oil and fats,Oil,L,actual,Retail,115.0
Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,actual,Wholesale,42.31
Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,90 KG,actual,Wholesale,3175.0
North Eastern,Mandera,Mandera,cereals and tubers,Maize,KG,actual,Retail,30.0
Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,actual,Wholesale,14.84
Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,90 KG,actual,Wholesale,1320.0
Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes,50 KG,actual,Wholesale,1074.07
Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,actual,Wholesale,1600.0
Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,actual,Wholesale,39.61
Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,90 KG,actual,Wholesale,4000.0
Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize,KG,actual,Retail,26.0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,actual,Wholesale,12.96
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,90 KG,actual,Wholesale,1192.0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,actual,Wholesale,45.85
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,90 KG,actual,Wholesale,2799.0
Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,actual,Wholesale,16.41
Coast,Mombasa,Mombasa,cereals and tubers,Maize,90 KG,actual,Wholesale,1523.0
Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,actual,Wholesale,39.48
Coast,Mombasa,Mombasa,pulses and nuts,Beans,90 KG,actual,Wholesale,3400.0
Eastern,Kitui,Kitui,cereals and tubers,Maize,KG,actual,Retail,18.0
Eastern,Kitui,Kitui,cereals and tubers,Potatoes,50 KG,actual,Wholesale,1555.55
Eastern,Kitui,Kitui,cereals and tubers,Sorghum,90 KG,actual,Wholesale,2000.0
Eastern,Kitui,Kitui,pulses and nuts,Beans,KG,actual,Retail,42.0
Eastern,Marsabit,Marsabit,cereals and tubers,Maize,KG,actual,Retail,22.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Beans,400 G,actual,Retail,26.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,actual,Wholesale,16.41
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,90 KG,actual,Wholesale,1488.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes,50 KG,actual,Wholesale,694.44
Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,actual,Wholesale,2260.0
Nairobi,Nairobi,Nairobi,milk and dairy,Milk,500 ML,actual,Retail,25.0
Nairobi,Nairobi,Nairobi,oil and fats,Oil,L,actual,Retail,120.0
Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,actual,Wholesale,47.1
Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,90 KG,actual,Wholesale,3485.0
North Eastern,Mandera,Mandera,cereals and tubers,Maize,KG,actual,Retail,29.0
Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,actual,Wholesale,17.83
Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,90 KG,actual,Wholesale,1456.0
Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes,50 KG,actual,Wholesale,1184.99
Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,actual,Wholesale,1600.0
Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,actual,Wholesale,42.79
Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,90 KG,actual,Wholesale,4000.0
Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize,KG,actual,Retail,28.0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,actual,Wholesale,13.12
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,90 KG,actual,Wholesale,1304.0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes,50 KG,actual,Wholesale,1038.33
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,actual,Wholesale,1504.0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,actual,Wholesale,44.02
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,90 KG,actual,Wholesale,3150.0
Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,actual,Wholesale,16.98
Coast,Mombasa,Mombasa,cereals and tubers,Maize,90 KG,actual,Wholesale,1476.0
Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,actual,Wholesale,44.69
Coast,Mombasa,Mombasa,pulses and nuts,Beans,90 KG,actual,Wholesale,3958.75
Eastern,Kitui,Kitui,cereals and tubers,Maize,KG,actual,Retail,18.0
Eastern,Kitui,Kitui,cereals and tubers,Potatoes,50 KG,actual,Wholesale,1722.21
Eastern,Kitui,Kitui,cereals and tubers,Sorghum,90 KG,actual,Wholesale,2000.0
Eastern,Kitui,Kitui,pulses and nuts,Beans,KG,actual,Retail,47.0
Eastern,Marsabit,Marsabit,cereals and tubers,Maize,KG,actual,Retail,22.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Beans,400 G,actual,Retail,26.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,actual,Wholesale,16.91
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,90 KG,actual,Wholesale,1500.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes,50 KG,actual,Wholesale,961.11
Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,actual,Wholesale,2250.0
Nairobi,Nairobi,Nairobi,milk and dairy,Milk,500 ML,actual,Retail,25.0
Nairobi,Nairobi,Nairobi,oil and fats,Oil,L,actual,Retail,108.0
Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,actual,Wholesale,42.31
Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,90 KG,actual,Wholesale,3760.0
North Eastern,Mandera,Mandera,cereals and tubers,Maize,KG,actual,Retail,27.0
Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,actual,Wholesale,14.75
Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,90 KG,actual,Wholesale,1554.55
Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes,50 KG,actual,Wholesale,1872.91
Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,actual,Wholesale,1595.0
Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,actual,Wholesale,54.52
Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,90 KG,actual,Wholesale,4515.0
Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize,KG,actual,Retail,27.0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,actual,Wholesale,13.31
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,90 KG,actual,Wholesale,1162.22
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes,50 KG,actual,Wholesale,875.97
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,actual,Wholesale,1115.75
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,actual,Wholesale,50.54
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,90 KG,actual,Wholesale,3305.0
Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,actual,Wholesale,17.17
Coast,Mombasa,Mombasa,cereals and tubers,Maize,90 KG,actual,Wholesale,1595.0
Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,actual,Wholesale,43.84
Coast,Mombasa,Mombasa,pulses and nuts,Beans,90 KG,actual,Wholesale,3995.0
Eastern,Kitui,Kitui,cereals and tubers,Maize,KG,actual,Retail,19.0
Eastern,Kitui,Kitui,cereals and tubers,Potatoes,50 KG,actual,Wholesale,1555.55
Eastern,Kitui,Kitui,cereals and tubers,Sorghum,90 KG,actual,Wholesale,2000.0
Eastern,Kitui,Kitui,pulses and nuts,Beans,KG,actual,Retail,53.0
Eastern,Marsabit,Marsabit,cereals and tubers,Maize,KG,actual,Retail,24.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Beans,400 G,actual,Retail,26.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,actual,Wholesale,17.02
Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,90 KG,actual,Wholesale,1540.0
Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes,50 KG,actual,Wholesale,1388.88
Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,actual,Wholesale,2310.0
Nairobi,Nairobi,Nairobi,milk and dairy,Milk,500 ML,actual,Retail,25.0
Nairobi,Nairobi,Nairobi,oil and fats,Oil,L,actual,Retail,110.0
Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,actual,Wholesale,47.1
Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,90 KG,actual,Wholesale,4310.0
North Eastern,Mandera,Mandera,cereals and tubers,Maize,KG,actual,Retail,28.0
