iter	Passed	Remaining
0	11	1123
1	19	979
2	25	832
3	31	759
4	37	716
5	43	684
6	49	652
7	54	627
8	60	606
9	65	592
10	70	573
11	76	559
12	81	547
13	87	536
14	92	524
15	98	514
16	103	505
17	108	495
18	114	486
19	119	477
20	125	470
21	130	462
22	135	455
23	141	447
24	146	440
25	152	432
26	157	425
27	162	418
28	168	411
29	173	405
30	179	398
31	184	392
32	190	386
33	195	379
34	200	373
35	207	369
36	213	363
37	218	356
38	222	348
39	227	341
40	232	334
41	237	328
42	242	321
43	248	315
44	254	311
45	260	305
46	265	299
47	271	293
48	276	288
49	282	282
50	287	276
51	293	270
52	297	264
53	303	258
54	308	252
55	314	246
56	319	240
57	324	235
58	329	229
59	335	223
60	340	217
61	346	212
62	351	206
63	356	200
64	362	194
65	367	189
66	372	183
67	378	177
68	383	172
69	388	166
70	393	160
71	399	155
72	405	149
73	410	144
74	415	138
75	419	132
76	424	126
77	428	120
78	432	115
79	438	109
80	443	103
81	448	98
82	452	92
83	458	87
84	462	81
85	465	75
86	469	70
87	473	64
88	477	59
89	480	53
90	485	47
91	490	42
92	495	37
93	501	31
94	506	26
95	511	21
96	516	15
97	522	10
98	527	5
99	533	0
